ID;MeetingDate;TaskID;Priority;TaskTopic;TaskDescription;Participants;FollowUp;ResponsibleDepartment;ResponsibleStaffMember;Beginning;ExpectedTermination;Status;StatusText;CurrentUser
56;2013-07-02 00:00:00.000;1;I;"TOPICS

1. Implementation of a money pool amounting to 3,6 bn USD for all overseas branches.
2. Discussion press articles regarding finance and mortgage bubble in China
3. Schuldscheindarlehen and Syndicated loans
4. New Banking Law CRD IC and CRR comes into force 01.01.2014.
     ";"to 1) HO maintained and maintains enough Liability Surplus to finance our current business activities.
          Nevertheless before entering new business we need to hava always a close eye on our Liabiltiy Surplus.
to 2) Regarding the actual press articles Mr Zheng, Head of Treasury informed us that the Chinese Central Bank is very  strict in the observance of the rules. 
          The chinese Banks stay in alert and act very conservative. Furthermore, Mr Zheng explained that there is no liquidity problem in the CCB.
to 3) Margins for the ""SSD"" is too low and the term period is too long. At the moment the execution of authorized payments is the better business option.     
to 4) European Commission issued the CRD (Capital requirement directive) / CRR (Capital requirement regulations) in the official EU journal. 
          The legislative package has to be implemented into national law by the EU members states at the 1st of Jan 2014.
          CCB Frankfurt Branch has to analyse the final regulations and the impact on our reporting. 

";NULL;NULL;"Foreign Department
Risk Controlling
Treasury ";"Sternheimer
Nieli
Zheng
Fu Dong
Gilhaus
Xiadong Wang
Ott";2013-07-02 00:00:00.000;2013-11-30 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 22.07.2013 14:36:15;NULL
57;2013-07-03 00:00:00.000;1;I;"TOPICS
1.  Public Audit 2012 
      Preparation of the ""To Do List"" for each department (please see ""To Do List for the public audit 2012"")

 2. Low risk Credit Business 
      Issuance desk instruction related to internal rating classifications of low risk businesses.
";"Task description defined for each department in the To Do List related to 2012. ";NULL;NULL;"Risk Controlling
Accounting 
IT
Prevention Office/AML Department
Credit Marketing
Credit Administration Department";"Sternheimer
Nieli
Nöske
Qian
Yu
Papas
Gilhaus
Ping Li";2013-07-03 00:00:00.000;2013-11-30 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 22.07.2013 14:36:38;NULL
58;2013-07-22 00:00:00.000;1;I;"
1. Communication 
2. MIS - PS Tool
3. new procjects (Online banking, SEPA)
4  PwC Audit Report 2012 – Follow up
5. Personnel 
6. Internal/External Audits
";"to 1 - communication between the departments needs to be improved
to 2 - PS Tool provides many internal valuable data/reports and features
            Departement Heads and employees are requested to use this new tool
to 3 -  HO changed log in procedure for online Banking - customers to be 
            informed by Mr. Ott until 19th of August latest 
         - SEPA - problems occured with Multibank Converter 
            Converter update to be organized with Multibank (PASS)
         - EAEG Einreicherdatei has been sent to Prüfungsverband - no reply so far 
to 4 -  IT Audit Dept. of CCB China must finalize their audit latest until 12/2013
to 5 -  Info about Personnel 
            1. Donggue Zeng (expatriate) leaves to China in September 2013
            2. Wolfgang Breunig (new Accounting Head) starts in November 2013
            3. Suosheng Li (General Manager) shall overtake post in CCB Luxembourg
            4. Biao Li (new General Manager) is expected to come in September 2013
            5. Junle Xie (Deputy General Manager) shall overtake a post in CCB London
            6. Bo Xiong (new Deputy General Manager) shall replace Mr. Xie
            7. Staff equipment according to responsibles statements are sufficient in 
                 IT, Treasury, Credit Administration, Operations and Risk Controlling 
                 
                 Additional info related to different departments:
                 - Credit Administration has already managed 60 from 80 credit reviews
                 - Starting from 03.05.2013 until today a lot of reportings (Einzelanzeigen)
                    had to be issued by Mr. Gilhaus and the colleagues from Credit Admin.
                 - Announcement that KPMG shall carry out General Internal Audit Tasks 
                    starting 2014 replacing the W+ST company
                 - Operations Dept. raised communication problems with Foreign Dept. 
                    especially related to incomplete payment instructions. 
                    Special meeting among the persons involved shall be held to solve the problem


  

 

 ";NULL;NULL;All Departments;"Sternheimer
Xie
Ping Li
Nieli
Fasanella
Gilhaus
Zheng
Römer
Yu
Papas
Xiaodong Wang
Nöske";2013-07-22 00:00:00.000;2013-08-06 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 10.10.2013 08:50:02;NULL
59;2013-09-09 00:00:00.000;1;B;"Desk Instructions
Work Manuals
Work Flow Plans
Job Descriptions";"Review, update and synchronize all documents due to change in Senior Management
";"Biao Li, Karl Sternheimer, Wolfgang Gilhaus, Dong Fu, Weihua Lv, Ping Li, Peter Nöske, Maoyuan Yu, Joachim Ott, Jin Wang, Meijuan Liu, 

Time: 3 p.m. - 4.45 p.m. 

";"+++ Update from Nieli on 03.01.2014 09:45:25 +++ 
The Orga system updated in Dec 2013";Risk Controlling in close cooperation with other units;Nieli;2013-09-09 00:00:00.000;2013-10-31 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 03.01.2014 09:45:35;NULL
60;2013-09-09 00:00:00.000;1;B;Marketing Material/Tools;Review and Revise all Marketing Materials;NULL;NULL;"Marketing Units I and II
Foreign Department
Credit Marketing Department";"Ott 
Dong Fu 
Gilhaus";2013-09-09 00:00:00.000;2013-09-30 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 21.10.2013 10:32:41;NULL
61;2013-09-09 00:00:00.000;2;C;Credit Marketing;"Market new medium and big sized corporates (also DAX companies) ";NULL;NULL;Credit Marketing;"Gilhaus
Ott
Dong Fu
Fantao Fu";2013-09-09 00:00:00.000;2013-12-31 00:00:00.000;STILL PENDING;NULL;NULL
62;2013-09-09 00:00:00.000;3;A;Profit Increase Treasury;"Approach our chinese domestic branches via e-mail or phone to offer our price for RMB FX transactions with the aim to generate additional profits for the bank. Start with CCB Shandong  - continue with other domestic branches in China. 
Start parallel action to insert the business in our MTS Treasury System with support of IT and Accounting. 
Arrange for a system test - if successful start the transactions. 
In order to cope with the time difference problem start treasury work at 7 a.m.   
 
";NULL;"Xiadong Wang described the business procedure of the daily EUR/US Dollars SWAP deals in five steps and forwarded 
the description to Operations/IT and Risk Management responsibles for final review (e-mail dd. 04.10.2013 - 18:01)
";"Treasury 
IT ";"Weihua Lv
Xiadong Wang
Mayuan Yu";2013-09-09 00:00:00.000;2013-12-31 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 03.01.2014 09:46:20;NULL
63;2013-09-09 00:00:00.000;4;NULL;"Personnel
Secretary
Senior Management";"Start search process to employ qualified candidate as quick as possible - preferably 01.10.2013. ";NULL;"+++ Update from Sternheimer on 19.09.2013 16:39:31 +++ 
Three candidates have been interviewed on 19.09.2013 by Mr. Sternheimer and Mrs. Liu.

+++ Update from Sternheimer on 07.10.2013 11:23:59 +++ 
Miss Susanna Hein has been employed as secretary to the Senior Management as per 01.10.2013.";Senior Management;Sternheimer;2013-09-10 00:00:00.000;2013-09-27 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 10.10.2013 08:49:12;NULL
64;2013-09-09 00:00:00.000;1;A;Offshore RMB Working Group;"Support our and the interest of our CCB Head Office to play a leading role in the possible RMB Clearing Center and/or RMB Trade platform to be established in Frankfurt to our best efforts and with the support of our Head Office. 
Contact the responsible German institutions (Ministry of Economics Wiesbaden) and Authorities (BaFin and Bundesbank) to get more knowledge about the approval procedures to overtake such a role as ""Clearing Bank"". 
Play an active role in the new to established RMB Working Group, consisting of Deutsche Bank, Commerzbank, Bank of China, ICBC and us.";NULL;NULL;Treasury and Senior Management;"Xiadong Wang
Lv
Biao Li
Sternheimer
Joachim Ott
Yu
Papas";2013-09-09 00:00:00.000;2013-12-31 00:00:00.000;ONGOING;NULL;NULL
65;2013-09-09 00:00:00.000;2;A;"Performance CCB Frankfurt
as per 31.08.2013
Comparison Budget - Real Results";"Analyse and compare on a monthly interval our budget figures with the real financial results in writing. Explain in writing the reasons for deviations towards the budget figures to Senior Management and the MCM members. ";NULL;"+++ Update from Sternheimer on 07.10.2013 11:59:01 +++ 
Presentation of the August 2013 figures had been made by Mrs. Qian on 24.09.2013. 

Operational Income
EUR    13.2 Mio.  Budget
EUR      7,5 Mio.   I21Ist

Profit before Income Tax and Reserves
EUR      7,3 Mio.   Budget
EUR      4,2 Mio.    Ist

Total Operating Expenses
EUR      5,7 Mio.    Budget
EUR      3,2 Mio.    Ist

Syndicated Loans
EUR  129,0 Mio.   Budget
EUR    77,0 Mio.    Ist

Bilateral Credits
EUR  359,0 Mio.    Budget
EUR  255,0 Mio.    Ist

Securities
EUR    30,0 Mio.    Budget
EUR      9,0 Mio.     Ist

Customer Deposits
EUR    56,0 Mio.    Budget
EUR    26,0 Mio.    Ist


";Accounting;"Nöske 
Qian";2013-09-09 00:00:00.000;2013-12-31 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 03.01.2014 09:47:02;NULL
66;2013-09-09 00:00:00.000;3;A;Head Office Instructions and Regulations;Inform - communicate - discuss and implement new Head Office regulations/instructions in the weekly Management Committee Meeting;NULL;NULL;"Risk Management
Senior Management";"Jin Wang 
Meijuan Liu

";2013-09-09 00:00:00.000;2013-12-31 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 03.01.2014 09:47:27;NULL
67;2013-09-16 00:00:00.000;1;B;Marketing Offers Schuldscheindarlehen;"Nabaltec - chemical group - presentation - total SSD volume 80 m EUR - intended participation 8 m EUR
Biotest - Pharmaceutical industry - total SSD volum 100 m EUR - intendet participation 5 - 10 m EUR
";"Biao Li
Sternheimer
Xie
Lv 
Yu 
Qian
Jin Wang 
Dong Fu 
Gilhaus
Ping Li ";"+++ Update from Nieli on 03.01.2014 09:49:06 +++ 
SSD offers cannot be proceeded due to non conformity with our HO policies";Credit Marketing;"Gilhaus
";2013-09-16 00:00:00.000;2013-10-07 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 03.01.2014 09:49:15;NULL
68;2013-09-24 00:00:00.000;1;B;IT Internal Audit (GDB);"Audit start (GDB)23.09.2013 until 26.09.2013. ";"Biao Li
Xie 
Sternheimer
Xiadong Wang
Gilhaus
Jin Wang
Ping Li
Qian
Yu
Dong Fu
Meijuan Liu";"+++ Update from Sternheimer on 07.10.2013 13:52:14 +++ 
On 26.09.2013 Mr. van Dyck shall present his findings which shall be monitored and settled by our IT and Risk Controlling Department. 
Mr. Nieli shall write the minutes of the meeting and shall supervise the settlement of the findings in coordination with our IT Department

+++ Update from Nieli on 21.10.2013 10:35:57 +++ 
Mr. Nieli prepared the minutes of meeting. (please see attachment ""minutes of meeting, IT-Audit"")";IT;"Yu 
Papas
";2013-09-24 00:00:00.000;2013-09-27 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 21.10.2013 10:36:05;NULL
69;2013-09-13 00:00:00.000;2;A;"Installation ""Lan Desk Software"" to disable PC users to use external data storages";"In order to increase our data security Senior Management decided to restrict the usage of USB sticks/external hardware drives to selected employees only.
Consequently the computers of most staff members must configurated with a ""disabled function mode"".  ";NULL;"+++ Update from Sternheimer on 07.10.2013 14:06:15 +++ 
Mr. Yu has already received the software from our Head Office. After testing this software shall be implemented within the month of October 2013.";"EDP ";"Maoyuan Yu
Paschalis Papas";2013-09-16 00:00:00.000;2013-10-31 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 03.01.2014 09:49:29;NULL
70;2013-10-07 00:00:00.000;1;I;"Performance CCB Frankfurt
as per 30.09.2013
Comparison Budget - Real Results";"1. Presentation of September 2013 figures by Mr. Nöske as follows: 

     附表五：资债完成预算情况			
     			货币单位：万欧元
     项目	月末余额	预算数	预算执行进度
     		 	
     各项贷款	                                                               154.442         101.057        153 %
      团贷款 syndicated loans	                                     8.271           12.926           64 %
      双边贷款 bilateral loans                                     25.394           35.860           71 %
      其中：内保外贷 with CCB Guarantees       21.923           30.871           71 %
      非内保外贷类 without guarantees                  3.471             4.989           70 %
      贸易融资 Trade finance                                     143.635           52.271         275 %
      其中：海外代付 Prefinacings                           1.760           10.000            18 %
      其他贸易融资 sonstige 	                                 141.874          42.270           336 %
      债券投资 Securities                                                      901            3.000              30 %
     总资产  total balance without HO 
      扣除总行清算沉淀资金）                               208.357       140.876 
      客户存款 Customer Deposits                                2.381           5.624               42 %
       同业拆入 Money Market                                      89.828         57.833            155 %

       Mr. Noeske has been requested to present the 3rd quarter figures during 
       the next meeting via a power point presentation


2.  Head Office info related to SSD/Syndicated business (email F. Fu dd. 27.09.2013) 
     - H.O. prefers to do business less than 3 years
     - H.O. wants CCB Frankfurt Branch to act as arranger and not as participant
     - If the amount of the Syndicated loan is less than €/US 100 mil. approval is not to be expected 

     Mr. Gilhaus outlined that:
     - most syndicated loans have a tenor of 3,5,7 or 10 years. Syndicated loans with a duration less 
        than 3 years are unusual in the daily business.
     - the marketing position of CCB Frankfurt is not strong enough to act as a leader or arranger for 
        syndicated loans (low dotation captial) which does not allow us to absorb the the credit risk 
     - numerous loans of medium scaled customers are below € 100 million

     With regard to the strong regulations of the H.O., most invitations do not match their conditions.
     Therefore the loans mentioned in Mr. Gilhaus attachment dd. 07.10.2013 cannot be proceeded 

3. Presentation Dong Fu on the following tables/figures in 2013:
     - expired loans               US $      1.301.660.101.86
     - non expired loans      US $          997.268.634.61
     - total loans                     US $      2.298.928,736.47

     Mr. Fu explained that due to our CAR limitation there won’t be space for new authorized payments 
     in the future. Mr Fu says that EALLC and prefinance are two  possible options to increase the bank’s 
     assets. Due to the competition with 3 other overseas branches it is necessary to lower the margin 
     and increase the business volume in order to meet the budget. Nevertheless, he believes that due 
     to the cooperation with foreign banks, lowering the margin would result in 30-40 BPS. 
     Furthermore, Mr. Fu informed about the liability surplus as per 04.10.2013:    373 M USD

4. Credit Administration
     Mrs. Ping Li states that all necessary info regarding article 18 KWG has been received and analyzed 
     and is ready for inspection. 

5. IT
     Mr. Papas is currently testing the Multibank platform. He would like to go live in November 2013.
     The internal IT audit, carried out by Prüfungs- und Beratungsgesellschaft stated that the PS tool
     generated by Mr. Papas meets the programming requirements. Mr. Papas is required to issue a
     full workflow procedure and to describe the programming and testing. 

6. Risk Controlling
     Mr. Nieli is currently preparing the risk controlling figures for the 3rd quarter 2013.
     So far he has not encountered any problems. The capital ratio is stable over 8.5. Only low risk 
     businesses are executed. All key controlling figures are met. A power point presentation shall
     be prepared.

7. Treasury
     Mr. Xiadong Wang informed about the EUR USD Swap Deals which generated a profit of € 3.000
     within one week. Based on our last discussions Mr. Wang expects the approval to purchase 
     German Treasury Notes and asked Mr. Papas (IT) to instal a test environment.
     Mr. Wang further informed that other chinese banks are allowed to issue commercial papers with
     a duration of 3 - 6 months. He suggested for further investigations and to consider this product also
     for our Branch.

8. Foreign Department
     Mr. Ott informed that numerous collection based payments from our chinese branches related to 
     VW /Audi transactions are still unsettled. He shall approach VW/Audi to continue sending letters to
     CCB China and their own Joint Ventures in China to speed up the settlement process.
     Mr. Ott also shall evaluate further business possibilities to generate additional income out of FX spot
     transactions and financings related to Jilin Branch (VW/Audit) transactions.
     Mr. Ott shall furthermore explore marketing opportunities with well performing medium sized 
     corporates.

9. General Information

    End of October 2013 our Chairman Mr. Hongzhang Wang and the Vice President of CCB Beijing shall 
    visit Deutsche Bundesbank and the Ministry of Economics in Wiesbaden. The goal of the visit is to
    express CCB´s strong interest be the RMB clearing bank for the financial Market Place Frankfurt. 
    In addition to that they are also interested to issue a RMB bond via our CCB Frankfurt Branch.  
    Our branch must get prepared that the delegation from China shall also come to our office.

    Customer deposit taking - insured by Deutsche Einlagensicherung
    Based on the latest arrangements with Prüfungsverband deutscher Banken CCBF can take customer
    deposits up to 100 m n total. This amount was restricted by Senior Management internally to € 65 m.
    In the future we consider to increase the already approved limit (€ 100 m) and shall negotiate with 
    Prüfungsverband accordingly.
     

 ";NULL;NULL;All;"Li
Sternheimer
Nieli
Noeske
Papas
Ping Li
Gilhaus
Ott
Dong Fu
Liu
Wang 
Lv
Hein";2013-10-07 00:00:00.000;2013-10-08 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 10.10.2013 08:46:12;NULL
71;2013-10-07 00:00:00.000;2;B;"Task 1: Mr. Noeske is asked to prepare a PowerPoint presentation stating all relevant figures regarding the 3rd quarter for next week’s meeting.
";"Accounting/Controlling
Preparation of a PowerPoint presentation stating all relevant accounting figures 3rd quarter on 18.10.2013
";NULL;"+++ Update from Nieli on 18.10.2013 14:20:10 +++ 
Mr. Nöske presented the financials key figures in the meeting as of 14.10.2013";Accounting;Noeske;2013-10-07 00:00:00.000;2013-10-14 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 18.10.2013 14:20:13;NULL
72;2013-10-07 00:00:00.000;3;B;Task 2: Mr. Papas is however required to present a full workflow procedure, including the task, the programming stage, a testing phase as well as the audit.;Task 2: PS Tool - Mr. Papas is however required to present a full workflow procedure, including the task, the programming stage, a testing phase as well as the audit.;NULL;NULL;EDP;Papas;2013-10-07 00:00:00.000;2013-10-31 00:00:00.000;STILL PENDING;NULL;NULL
73;2013-10-31 00:00:00.000;1;A;Task 3: Mr. Papas offers a test environment for Mr. Wang;Task 3: Mr. Papas offers a test environment for Mr. Wang;NULL;"+++ Update from Nieli on 18.10.2013 14:22:43 +++ 
The test environment for the treasury department will be provided in the 47th calendar week.";"EDP, Treasury ";"Papas
Xiadong Wang";2013-10-07 00:00:00.000;2013-10-31 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 03.01.2014 09:50:01;NULL
74;2013-10-14 00:00:00.000;4;B;Task 4: Mr. Ott will present medium-sized enterprises during the next meeting;Task 4: Mr. Ott will present medium-sized enterprises during the next meeting;NULL;"+++ Update from Nieli on 18.10.2013 14:21:10 +++ 
Mr. Ott presented a list of medium sized companies in the meeting as at 14.10.2013";Marketing II;"Ott 
";2013-10-07 00:00:00.000;2013-10-31 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 18.10.2013 14:21:12;NULL
